street_name,street_class_code,new_area_code,surface_type_code,Subarea,Subarea EA,line_length,route_no,year_built,os_sheets,road_start,road_finish,Irish
ESSEX QUAY,1,5,1,R09,R05,155,N004,0,326310,missing,missing,Cé Essex
ESSEX STREET EAST,3,5,1,9,1,226,missing,0,326310,PARLIAMENT STREET,TEMPLE BAR,missing
ESSEX STREET WEST,5,5,3,9,1,324,missing,0,326310,FISHAMBLE STREET,EXHANGE STREET UPPER,missing
ESTATE AVENUE,6,5,2,14,27,76,missing,0,332910,MERRION ROAD,missing,Ascaill an Eastáit
ESTATE COTTAGES,6,5,2,17,30,53,missing,0,326412,NORTHUMBERLAND ROAD,missing,Iostáin an Eastáit
ESTATE COTTAGES,6,5,3,17,30,73,missing,0,326423,SHELBOURNE ROAD,missing,Iostáin an Eastáit
ESTATE COTTAGES,6,5,2,17,30,65,missing,0,326412,NORTHUMBERLAND ROAD,missing,Iostáin an Eastáit
EUGENE STREET,6,4,2,7,7,208,missing,0,326318,DARLEY TERRACE,missing,Sráid Eoghain
EUSTACE BRIDGE,1,5,1,R13,R24,21,N011,0,326416,SUSSEX TERRACE,WILTON TERRACE,missing
EUSTACE STREET,4,5,2,9,1,157,missing,0,326310,DAME STREET,WELLINGTON QUAY,Sráid Iústas
EVERTON AVENUE,6,1,3,10,18,69,missing,0,319723,ELLESMERE AVENUE,missing,Ascaill Everton
EWINGTON LANE,6,4,2,2,2,166,missing,0,326313,JAMES STREET,BASIN STREET LOWER,Lána Orc
EXCHANGE COURT,7,5,2,10,2,34,missing,0,,DAME STREET,missing,Cúirt an Mhargaidh Ríogha
EXCHANGE STREET LOWER,5,5,4,9,1,81,missing,0,326310,ESSEX GATE,WOOD QUAY,missing
EXCHANGE STREET LOWER,5,5,3,9,1,81,missing,0,326310,ESSEX GATE,WOOD QUAY,missing
EXCHANGE STREET UPPER,5,5,4,9,1,90,missing,0,326310,LORD EDWARD STREET,ESSEX GATE,missing
EXCHEQUER STREET,4,5,2,13,5,119,missing,0,326310,missing,missing,Sráid an Chiste
FADE STREET,4,5,2,13,5,71,missing,0,326310,DRURY STREET,SOUTH GREAT GEORGES STREET,Sráid Fháid
FAIRFIELD AVENUE,6,1,3,16,16,62,missing,0,319822,CHURCH ROAD,MOYELTA ROAD,Ascaill an Aonaigh
FAIRFIELD AVENUE,6,1,3,16,16,82,missing,0,319822,CHURCH ROAD,MOYELTA ROAD,Ascaill an Aonaigh
